,datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
342,2022-12-05,135.0,780.0,799.5,772.0,779.5,690618.0,568281.0,598382.0,DCE.i2305,86400
343,2022-12-06,136.0,780.5,792.5,773.0,780.0,739884.0,598382.0,645663.0,DCE.i2305,86400
344,2022-12-07,137.0,780.0,795.0,761.0,765.0,1045695.0,645663.0,670470.0,DCE.i2305,86400
345,2022-12-08,138.0,765.5,793.0,765.5,790.0,812671.0,670470.0,714255.0,DCE.i2305,86400
346,2022-12-09,139.0,795.0,823.0,795.0,814.5,1048747.0,714255.0,731133.0,DCE.i2305,86400
347,2022-12-12,140.0,811.5,822.5,800.5,802.5,797363.0,731133.0,727162.0,DCE.i2305,86400
348,2022-12-13,141.0,802.5,809.5,789.0,808.5,803172.0,727162.0,751858.0,DCE.i2305,86400
349,2022-12-14,142.0,808.5,813.0,794.5,808.5,793160.0,751858.0,762086.0,DCE.i2305,86400
350,2022-12-15,143.0,811.5,832.0,807.5,830.0,959400.0,762086.0,788881.0,DCE.i2305,86400
351,2022-12-16,144.0,830.5,841.5,803.0,821.0,1128672.0,788881.0,783155.0,DCE.i2305,86400
352,2022-12-19,145.0,821.0,821.5,792.0,793.5,1091943.0,783155.0,774077.0,DCE.i2305,86400
353,2022-12-20,146.0,794.0,810.0,788.0,804.5,821864.0,774077.0,793058.0,DCE.i2305,86400
354,2022-12-21,147.0,806.5,829.5,797.0,829.0,867882.0,793058.0,829134.0,DCE.i2305,86400
355,2022-12-22,148.0,832.5,835.0,816.0,817.5,785544.0,829134.0,841031.0,DCE.i2305,86400
356,2022-12-23,149.0,820.0,827.5,805.5,825.0,892170.0,841031.0,837755.0,DCE.i2305,86400
357,2022-12-26,150.0,825.0,832.0,807.0,828.0,826326.0,837755.0,837305.0,DCE.i2305,86400
358,2022-12-27,151.0,828.0,838.0,818.0,836.0,682128.0,837305.0,852478.0,DCE.i2305,86400
359,2022-12-28,152.0,837.5,838.5,825.0,835.5,569096.0,852478.0,859385.0,DCE.i2305,86400
360,2022-12-29,153.0,838.0,847.5,831.0,845.0,766768.0,859385.0,885333.0,DCE.i2305,86400
